Try the new events page,,,,,
,Agent Hackathon @ AGI House,4 May,4 May,"San Francisco, CA",https://partiful.com/e/KaiZUpQEKTK8nGqkucv8
,AI for Thought Hackathon,4 May,4 May,"San Francisco, CA",https://partiful.com/e/gZxq1PJ9mTFWpcr67mgl
April,Build with AI - Generative AI Hackathon,27 April,27 April,"San Francisco, CA",https://www.aicamp.ai/event/eventdetails/W2024042709
,Bio x AI Hackathon @ AGI House,27 April,27 April,"San Francisco, CA",https://partiful.com/e/ZOAp8xKdtNmgdZtyrtpR
,Agent Hackathon: Building Cognition-as-a-Service,20 April,21 April,"San Francisco, CA",https://partiful.com/e/7RhCvOOFbquT6Ps8iky5
,Gemini Pro 1.5 API Hackathon @ AGI House,20 April,20 April,"San Francisco, CA",https://partiful.com/e/heK3M2NVmDJ9XX7YjIHd
,MongoDB GenAI Hackathon,20 April,20 April,"San Francisco, CA",https://lu.ma/MongoDB-GenAI-SF
,Wiki x AI Hackathon,15 April,15 April,"San Francisco, CA",https://lu.ma/k84uw71w
,AI Wonderland Hackathon @ AGI House,13 April,13 April,"San Francisco, CA",https://partiful.com/e/0mqC1PzvesDvBw1gFyrj
,Realtime Voice AI and Multimodal Hackathon,13 April,13 April,"San Francisco, CA",https://partiful.com/e/VJPFposDqQg2eCqHuL38
,AI Hackathon: Build the World You Want to See,7 April,7 April,"San Francisco, CA",https://lu.ma/aihack
,LLM x Law Hackathon @Stanford #3,7 April,7 April,"Stanford, CA",https://partiful.com/e/NsYXeDR8YUiR7pJS2FEY
,Gen AI x Aerospace Hackathon @ AGI House ft. Sora,6 April,6 April,"San Francisco, CA",https://partiful.com/e/EIsC72XHPqyxg2Ql1M53
,Poe Hackathon,6 April,6 April,"San Francisco, CA",https://partiful.com/e/5e04bH25WI0Vkx7XwZMj
,BCI Hackathon with Neurosity,6 April,6 April,"San Francisco, CA",https://partiful.com/e/097ae86HLX3WerjbDpSn
,"Memory Hackathon with New Computer, Anthropic, MongoDB and LangChain",6 April,6 April,"San Francisco, CA",https://lu.ma/taa6ijxt
March,Mistral AI SF Hackathon,23 March,24 March,"San Francisco, CA",https://partiful.com/e/Zk9c9HVsmtsGDVLCqSw3?
,GenLab Hack III - AI Agents & Fintech,16 March,17 March,"San Francisco, CA",https://lu.ma/genlab3
